record,S1r1,S1r2,S1r3,S1r4,S1r5,S1r6,MRK_Sample,age,MRK_Age,gender,S6r1,S6r2,S6r3,S6r4,numdogs,S9,S10,M1r1,M1r2,M1r3,M1r4,M1r5,M1r6,M1r7,M1r8,M1r9,M1r10,M1r11,M1r12,M1r13,M1r14,M1r15,M1r16,M1r17,M1r18,M2r1,M2r2,M2r3,M2r4,M2r5,M2r6,M2r7,M2r8,M2r9,M2r10,M3r1,M3r2,M3r3,M3r4,M3r5,M3r6,M3r7,M3r8,M3r9,M3r10,M3r11,M3r12,M4r1,M4r2,M4r3,M4r4,M4r5,M4r6,M4r7,M4r8,M4r9,M4r10,M4r11,M4r12,M4r13,M4r14,M4r15,M4r16,M4r17,M4r18,M4r19,M4r20,M5r1,M5r2,M5r3,M5r4,M5r5,M5r6,M5r7,M6,M7r1,M7r2,M7r3,M7r4,M7r5,M7r6,M7r7,M7r8,M7r9,M7r10,M7r11,M7r12,M7r13,M7r14,M7r15,M7r16,M7r17,M7r18,M7r19,M7r20,M7r21,M7r22,M7r23,M7r24,M7r25,M7r26,M7r27,M7r28,M7r29,D1,D1b,D2,D3,D4,D5,D6,D7,S2,state,S8,M1r4_rev,M1r6_rev,M1r9_rev,M1r12_rev,M1r15_rev,M1r17_rev,PAStotal,socSupport,depress,gad7
686,1,1,0,1,0,0,1, , , ,3,2,3,2,1,5,2,6,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,3,2,3,2,4,3,3,3,3,3,5,4,5,6,5,4,4,5,6,5,4,4,2,2,3,2,3,2,3,3,2,2,3,3,3,2,3,3,2,2,3,2,3,2,2,3,3,2,2,3,3,4,4,4,5,5,2,3,4,3,3,4,4,4,5,4,3,4,3,3,3,4,4,4,4,5,3,2,2,2,7,2,4,1,2,1,1, ,13,5,2,2,2,1,1,2,84,57,50,17
1814,1,1,0,0,0,0,1, , ,2,3,3,3,3,2,2,2,7,4,7,1,7,1,7,4,4,5,7,1,5,7,1,5,1,7,5,5,5,5,5,5,5,5,5,5,7,6,6,6,7,6,6,6,6,7,6,6,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,0,0,0,0,0, ,1,5,6,6,4,2,4,5,5,3,6,5,3,3,5,6,6,5,2,5,6,6,2,1,6,6,2,1,1,4,2,3,2,3,2,1,9, ,22,2,7,7,4,7,7,7,111,75,24,0
7023,0,0,0,0,0,1,2, , ,2,1,3,3,1, , , ,7,4,6,4,7,1,7,7,1,7,7,2,1,7,1,6,1,3,5,5,5,5,5,5,5,4,3,3,7,2,5,5,1,1,7,7,7,6,5,5,2,2,4,2,2,1,2,4,3,2,3,3,4,3,2,3,1,5,5,3,2,2,2,2,1,0,0,1,5,3,3,3,5,3,4,4,5,5,5,4,3,2,4,3,3,4,2,5,5,4,5,6,2,2,3,4,4,1,1,3,6,2,2,5,9,5,46, ,4,7,7,6,7,7,107,58,56,9
2621,0,0,0,0,0,1,2,85,7,2,3,3,3,3, , , ,7,7,7,1,7,1,7,7,1,3,7,1,3,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,7,5,7,6,5,5,5,6,6,6,6,5,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,1,0,1,0,2,3,2,3,3,3,4,3,3,3,4,3,3,4,4,3,4,3,2,4,3,3,3,4,4,3,3,4,4,3,2,3,4,5,3,2,1,2,5,3, ,7,7,7,7,7,7,118,69,25,3
3291,0,0,0,0,0,1,2,93,7,1,5,4,5,5, , , ,6,5,5,3,5,3,4,4,3,5,5,3,4,5,5,6,2,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,7,5,5,6,5,7,7,5,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,2,3,4,4,4,4,3,3,5,2,3,5,5,3,4,3,3,4,3,2,5,4,3,2,3,4,3,4,3,2,2,1,5,1,2,1,2,4,38, ,5,5,5,5,3,6,88,71,22,0
11,1,0,0,0,0,0,1,75,6,2,2,2,3,2,1,1,2,7,4,7,1,7,1,7,6,1,4,7,1,1,7,1,7,1,7,5,4,3,3,4,4,4,5,5,5,7,7,6,6,7,7,7,7,7,7,7,7,5,1,3,1,3,1,3,1,1,2,3,2,1,1,1,1,1,2,2,1,0,0,0,1,0,0,0,1,1,5,4,6,4,4,2,4,4,2,3,2,5,4,4,6,5,3,2,1,5,3,4,1,4,5,1,3,1,2,2,2,5,1,2,1,3, ,33,3,7,7,7,7,7,7,113,82,36,1
90,0,0,0,0,0,1,2,77,6,2,4,4,4,4, , , ,7,7,7,1,7,1,7,7,1,7,7,1,5,7,1,7,1,7,5,5,5,3,5,5,5,5,5,5,7,7,4,4,7,4,4,4,4,7,4,4,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,1,0,1,1,3,6,2,1,1,6,6,6,4,4,5,1,1,5,6,6,6,2,6,6,6,1,1,6,6,3,2,2,2,2,3,2,2,2,1,7,5,5, ,7,7,7,7,7,7,124,60,25,1
361,1,0,0,0,0,0,1,79,6,2,5,1,1,3,3,5,2,7,7,7,1,7,1,7,7,1,2,7,1,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,4,4,1,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,0,1,1,1,6,6,6,6,2,3,3,6,4,6,6,3,3,6,6,6,3,1,5,6,6,1,1,4,6,1,3,1,3,4,2,5,3,2,1,3, ,3,5,7,7,7,7,7,7,115,84,39,7
412,1,0,0,0,0,0,1,77,6,2,2,4,3,3,1,6,2,7,6,7,7,7,1,7,7,1,7,7,1,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,2,6,4,4,2,3,3,3,5,1,5,3,4,5,4,5,3,4,2,2,5,5,2,2,1,5,2,6,1,2,1,4,5,2,2,1,1, ,40,6,1,7,7,7,7,7,113,72,22,2
427,1,0,0,0,0,0,1,82,6,2,1,1,4,1,1,4,2,6,6,7,1,7,6,7,7,7,6,7,1,5,6,1,7,1,7,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,5,5,5,5,5,5,3,3,2,4,4,4,4,3,3,4,5,4,3,4,1,2,3,1,3,2,2,3,3,3,1,3,3,2,6,1,1,2,5,6,1,2,1,5,1,1,6,5,1,2,1,1,5,2,3,2,3,6,1,1,3,5,3,2,5,2,5,3,2,1,3, ,25,5,7,2,1,7,7,7,109,63,62,18
433,1,1,0,0,0,0,1,83,6,2,2,2,3,2,1,5,2,7,4,7,1,7,1,7,7,1,3,7,1,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,7,5,7,7,5,1,2,2,2,3,3,3,2,1,2,1,2,3,1,1,2,2,1,3,3,1,1,1,1,1,1,1,2,2,2,4,4,4,4,3,4,3,4,3,3,4,5,3,4,4,3,4,4,4,3,3,3,3,3,3,3,2,2,4,3,5,2,2,1,2, ,21,5,7,7,7,7,7,7,113,71,40,7
